Número a buscar	Tamaño de n	Tiempo real	¿Encontrado'				
3128036	400000	 0.0000009537 s 	 No				
3128036	600000	 0.0000021458 s 	 No				
3128036	800000	 0.0000009537 s 	 No				
3128036	1000000	 0.0000009537 s 	 No				
3128036	2000000	 0.0000019073 s 	 Si				
3128036	3000000	 0.0000028610 s 	 Si				
3128036	4000000	 0.0000021458 s 	 Si				
3128036	5000000	 0.0000021458 s 	 Si				
3128036	6000000	 0.0000028610 s 	 Si				
3128036	7000000	 0.0000019073 s 	 Si				
3128036	8000000	 0.0000021458 s 	 Si				
3128036	9000000	 0.0000030994 s 	 Si				
3128036	10000000	 0.0000030994 s 	 Si				
6337399	100	 0.0000009537 s 	 No				
6337399	1000	 0.0000000000 s 	 No				
6337399	5000	 0.0000009537 s 	 No				
6337399	10000	 0.0000000000 s 	 No				
6337399	50000	 0.0000011921 s 	 No				
6337399	100000	 0.0000009537 s 	 No				
6337399	200000	 0.0000009537 s 	 No				
6337399	400000	 0.0000009537 s 	 No				
6337399	600000	 0.0000009537 s 	 No				
6337399	800000	 0.0000009537 s 	 No				
6337399	1000000	 0.0000009537 s 	 No				
6337399	2000000	 0.0000021458 s 	 No				
6337399	3000000	 0.0000019073 s 	 No				
6337399	4000000	 0.0000021458 s 	 No				
6337399	5000000	 0.0000021458 s 	 No				
6337399	6000000	 0.0000028610 s 	 No				
6337399	7000000	 0.0000028610 s 	 Si				
6337399	8000000	 0.0000021458 s 	 Si				
6337399	9000000	 0.0000030994 s 	 Si				
6337399	10000000	 0.0000028610 s 	 Si				
10393545	100	 0.0000000000 s 	 No				
10393545	1000	 0.0000000000 s 	 No				
10393545	5000	 0.0000000000 s 	 No				
10393545	10000	 0.0000000000 s 	 No				
10393545	50000	 0.0000009537 s 	 No				
10393545	100000	 0.0000000000 s 	 No				
10393545	200000	 0.0000009537 s 	 No				
10393545	400000	 0.0000009537 s 	 No				
10393545	600000	 0.0000009537 s 	 No				
10393545	800000	 0.0000019073 s 	 No				
10393545	1000000	 0.0000009537 s 	 No				
10393545	2000000	 0.0000009537 s 	 No				
10393545	3000000	 0.0000009537 s 	 No				
10393545	4000000	 0.0000019073 s 	 No				
10393545	5000000	 0.0000030994 s 	 No				
10393545	6000000	 0.0000019073 s 	 No				
10393545	7000000	 0.0000030994 s 	 Si				
10393545	8000000	 0.0000019073 s 	 Si				
10393545	9000000	 0.0000028610 s 	 Si				
10393545	10000000	 0.0000021458 s 	 Si				
14700764	100	 0.0000000000 s 	 No				
14700764	1000	 0.0000000000 s 	 No				
14700764	5000	 0.0000000000 s 	 No				
14700764	10000	 0.0000000000 s 	 No				
14700764	50000	 0.0000009537 s 	 No				
14700764	100000	 0.0000000000 s 	 No				
14700764	200000	 0.0000011921 s 	 No				
14700764	400000	 0.0000009537 s 	 No				
14700764	600000	 0.0000009537 s 	 No				
14700764	800000	 0.0000019073 s 	 No				
14700764	1000000	 0.0000011921 s 	 No				
14700764	2000000	 0.0000009537 s 	 No				
14700764	3000000	 0.0000009537 s 	 No				
14700764	4000000	 0.0000019073 s 	 No				
14700764	5000000	 0.0000019073 s 	 No				
14700764	6000000	 0.0000019073 s 	 No				
14700764	7000000	 0.0000021458 s 	 No				
14700764	8000000	 0.0000019073 s 	 No				
14700764	9000000	 0.0000021458 s 	 No				
14700764	10000000	 0.0000021458 s 	 No				
187645041	100	 0.0000000000 s 	 No				
187645041	1000	 0.0000000000 s 	 No				
187645041	5000	 0.0000009537 s 	 No				
187645041	10000	 0.0000009537 s 	 No				
187645041	50000	 0.0000011921 s 	 No				
187645041	100000	 0.0000009537 s 	 No				
187645041	200000	 0.0000011921 s 	 No				
187645041	400000	 0.0000019073 s 	 No				
187645041	600000	 0.0000009537 s 	 No				
187645041	800000	 0.0000019073 s 	 No				
187645041	1000000	 0.0000019073 s 	 No				
187645041	2000000	 0.0000019073 s 	 No				
187645041	3000000	 0.0000021458 s 	 No				
187645041	4000000	 0.0000019073 s 	 No				
187645041	5000000	 0.0000021458 s 	 No				
187645041	6000000	 0.0000028610 s 	 No				
187645041	7000000	 0.0000030994 s 	 No				
187645041	8000000	 0.0000019073 s 	 No				
187645041	9000000	 0.0000028610 s 	 No				
187645041	10000000	 0.0000030994 s 	 No				
450057883	100	 0.0000009537 s 	 No				
450057883	1000	 0.0000009537 s 	 No				
450057883	5000	 0.0000009537 s 	 No				
450057883	10000	 0.0000000000 s 	 No				
450057883	50000	 0.0000009537 s 	 No				
450057883	100000	 0.0000009537 s 	 No				
450057883	200000	 0.0000009537 s 	 No				
450057883	400000	 0.0000011921 s 	 No				
450057883	600000	 0.0000009537 s 	 No				
450057883	800000	 0.0000009537 s 	 No				
450057883	1000000	 0.0000019073 s 	 No				
450057883	2000000	 0.0000021458 s 	 No				
450057883	3000000	 0.0000019073 s 	 No				
450057883	4000000	 0.0000021458 s 	 No				
450057883	5000000	 0.0000028610 s 	 No				
450057883	6000000	 0.0000030994 s 	 No				
450057883	7000000	 0.0000030994 s 	 No				
450057883	8000000	 0.0000019073 s 	 No				
450057883	9000000	 0.0000028610 s 	 No				
450057883	10000000	 0.0000028610 s 	 No				
1295390003	100	 0.0000000000 s 	 No				
1295390003	1000	 0.0000000000 s 	 No				
1295390003	5000	 0.0000009537 s 	 No				
1295390003	10000	 0.0000009537 s 	 No				
1295390003	50000	 0.0000009537 s 	 No				
1295390003	100000	 0.0000009537 s 	 No				
1295390003	200000	 0.0000009537 s 	 No				
1295390003	400000	 0.0000009537 s 	 No				
1295390003	600000	 0.0000019073 s 	 No				
1295390003	800000	 0.0000009537 s 	 No				
1295390003	1000000	 0.0000021458 s 	 No				
1295390003	2000000	 0.0000019073 s 	 No				
1295390003	3000000	 0.0000019073 s 	 No				
1295390003	4000000	 0.0000028610 s 	 No				
1295390003	5000000	 0.0000028610 s 	 No				
1295390003	6000000	 0.0000030994 s 	 No				
1295390003	7000000	 0.0000028610 s 	 No				
1295390003	8000000	 0.0000028610 s 	 No				
1295390003	9000000	 0.0000030994 s 	 Si				
1295390003	10000000	 0.0000028610 s 	 Si				
1360839354	100	 0.0000009537 s 	 No				
1360839354	1000	 0.0000000000 s 	 No				
1360839354	5000	 0.0000009537 s 	 No				
1360839354	10000	 0.0000000000 s 	 No				
1360839354	50000	 0.0000009537 s 	 No				
1360839354	100000	 0.0000009537 s 	 No				
1360839354	200000	 0.0000009537 s 	 No				
1360839354	400000	 0.0000009537 s 	 No				
1360839354	600000	 0.0000019073 s 	 No				
1360839354	800000	 0.0000019073 s 	 No				
1360839354	1000000	 0.0000019073 s 	 No				
1360839354	2000000	 0.0000021458 s 	 No				
1360839354	3000000	 0.0000030994 s 	 No				
1360839354	4000000	 0.0000028610 s 	 No				
1360839354	5000000	 0.0000028610 s 	 No				
1360839354	6000000	 0.0000040531 s 	 No				
1360839354	7000000	 0.0000028610 s 	 No				
1360839354	8000000	 0.0000040531 s 	 No				
1360839354	9000000	 0.0000030994 s 	 No				
1360839354	10000000	 0.0000030994 s 	 No				
1493283650	100	 0.0000011921 s 	 No				
1493283650	1000	 0.0000011921 s 	 No				
1493283650	5000	 0.0000011921 s 	 No				
1493283650	10000	 0.0000009537 s 	 No				
1493283650	50000	 0.0000009537 s 	 No				
1493283650	100000	 0.0000009537 s 	 No				
1493283650	200000	 0.0000009537 s 	 No				
1493283650	400000	 0.0000021458 s 	 No				
1493283650	600000	 0.0000021458 s 	 Si				
1493283650	800000	 0.0000011921 s 	 Si				
1493283650	1000000	 0.0000021458 s 	 Si				
1493283650	2000000	 0.0000009537 s 	 Si				
1493283650	3000000	 0.0000021458 s 	 Si				
1493283650	4000000	 0.0000019073 s 	 Si				
1493283650	5000000	 0.0000019073 s 	 Si				
1493283650	6000000	 0.0000019073 s 	 Si				
1493283650	7000000	 0.0000019073 s 	 Si				
1493283650	8000000	 0.0000011921 s 	 Si				
1493283650	9000000	 0.0000021458 s 	 Si				
1493283650	10000000	 0.0000019073 s 	 Si				
1843349527	100	 0.0000000000 s 	 No				
1843349527	1000	 0.0000009537 s 	 No				
1843349527	5000	 0.0000000000 s 	 No				
1843349527	10000	 0.0000009537 s 	 No				
1843349527	50000	 0.0000009537 s 	 No				
1843349527	100000	 0.0000009537 s 	 No				
1843349527	200000	 0.0000019073 s 	 No				
1843349527	400000	 0.0000021458 s 	 No				
1843349527	600000	 0.0000009537 s 	 No				
1843349527	800000	 0.0000011921 s 	 No				
1843349527	1000000	 0.0000021458 s 	 No				
1843349527	2000000	 0.0000019073 s 	 No				
1843349527	3000000	 0.0000028610 s 	 Si				
1843349527	4000000	 0.0000019073 s 	 Si				
1843349527	5000000	 0.0000019073 s 	 Si				
1843349527	6000000	 0.0000019073 s 	 Si				
1843349527	7000000	 0.0000019073 s 	 Si				
1843349527	8000000	 0.0000028610 s 	 Si				
1843349527	9000000	 0.0000019073 s 	 Si				
1843349527	10000000	 0.0000030994 s 	 Si				
1980098116	100	 0.0000009537 s 	 No				
1980098116	1000	 0.0000009537 s 	 No				
1980098116	5000	 0.0000000000 s 	 No				
1980098116	10000	 0.0000000000 s 	 No				
1980098116	50000	 0.0000009537 s 	 No				
1980098116	100000	 0.0000009537 s 	 No				
1980098116	200000	 0.0000009537 s 	 No				
1980098116	400000	 0.0000011921 s 	 No				
1980098116	600000	 0.0000019073 s 	 No				
1980098116	800000	 0.0000009537 s 	 No				
1980098116	1000000	 0.0000009537 s 	 No				
1980098116	2000000	 0.0000021458 s 	 No				
1980098116	3000000	 0.0000009537 s 	 No				
1980098116	4000000	 0.0000009537 s 	 No				
1980098116	5000000	 0.0000019073 s 	 No				
1980098116	6000000	 0.0000019073 s 	 No				
1980098116	7000000	 0.0000019073 s 	 No				
1980098116	8000000	 0.0000021458 s 	 No				
1980098116	9000000	 0.0000021458 s 	 No				
1980098116	10000000	 0.0000019073 s 	 No				
2109248666	100	 0.0000000000 s 	 No				
2109248666	1000	 0.0000009537 s 	 No				
2109248666	5000	 0.0000009537 s 	 No				
2109248666	10000	 0.0000011921 s 	 No				
2109248666	50000	 0.0000009537 s 	 No				
2109248666	100000	 0.0000009537 s 	 No				
2109248666	200000	 0.0000009537 s 	 No				
2109248666	400000	 0.0000021458 s 	 No				
2109248666	600000	 0.0000009537 s 	 No				
2109248666	800000	 0.0000021458 s 	 No				
2109248666	1000000	 0.0000021458 s 	 No				
2109248666	2000000	 0.0000021458 s 	 No				
2109248666	3000000	 0.0000030994 s 	 No				
2109248666	4000000	 0.0000021458 s 	 No				
2109248666	5000000	 0.0000028610 s 	 No				
2109248666	6000000	 0.0000021458 s 	 No				
2109248666	7000000	 0.0000028610 s 	 Si				
2109248666	8000000	 0.0000030994 s 	 Si				
2109248666	9000000	 0.0000030994 s 	 Si				
2109248666	10000000	 0.0000030994 s 	 Si				
2147445644	100	 0.0000009537 s 	 No				
2147445644	1000	 0.0000011921 s 	 No				
2147445644	5000	 0.0000009537 s 	 No				
2147445644	10000	 0.0000009537 s 	 No				
2147445644	50000	 0.0000011921 s 	 No				
2147445644	100000	 0.0000009537 s 	 No				
2147445644	200000	 0.0000011921 s 	 No				
2147445644	400000	 0.0000009537 s 	 No				
2147445644	600000	 0.0000011921 s 	 No				
2147445644	800000	 0.0000009537 s 	 No				
2147445644	1000000	 0.0000009537 s 	 No				
2147445644	2000000	 0.0000009537 s 	 No				
2147445644	3000000	 0.0000009537 s 	 No				
2147445644	4000000	 0.0000019073 s 	 No				
2147445644	5000000	 0.0000021458 s 	 No				
2147445644	6000000	 0.0000019073 s 	 No				
2147445644	7000000	 0.0000019073 s 	 No				
2147445644	8000000	 0.0000021458 s 	 No				
2147445644	9000000	 0.0000021458 s 	 No				
2147445644	10000000	 0.0000009537 s 	 No				
2147470852	100	 0.0000000000 s 	 No				
2147470852	1000	 0.0000000000 s 	 No				
2147470852	5000	 0.0000009537 s 	 No				
2147470852	10000	 0.0000000000 s 	 No				
2147470852	50000	 0.0000000000 s 	 No				
2147470852	100000	 0.0000011921 s 	 No				
2147470852	200000	 0.0000009537 s 	 No				
2147470852	400000	 0.0000000000 s 	 No				
2147470852	600000	 0.0000009537 s 	 No				
2147470852	800000	 0.0000000000 s 	 No				
2147470852	1000000	 0.0000000000 s 	 No				
2147470852	2000000	 0.0000009537 s 	 No				
2147470852	3000000	 0.0000009537 s 	 No				
2147470852	4000000	 0.0000019073 s 	 No				
2147470852	5000000	 0.0000021458 s 	 No				
2147470852	6000000	 0.0000009537 s 	 No				
2147470852	7000000	 0.0000021458 s 	 No				
2147470852	8000000	 0.0000019073 s 	 Si				
2147470852	9000000	 0.0000019073 s 	 Si				
2147470852	10000000	 0.0000019073 s 	 Si				
